"","V1_v_high","V1_v_low","V1_v_med","V1_v_vhigh","V2_v_high","V2_v_low","V2_v_med","V2_v_vhigh","V3_v_2","V3_v_3","V3_v_4","V3_v_5more","V4_v_2","V4_v_4","V4_v_more","V5_v_big","V5_v_med","V5_v_small","V6_v_high","V6_v_low","V6_v_med","V7"
"2",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"3",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"6",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"7",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"8",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"9",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"10",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"11",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"13",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"14",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"15",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,"unacc"
"17",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,"unacc"
"18",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,"unacc"
"19",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"20",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"21",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"22",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"23",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"24",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,"unacc"
"25",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"26",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,"unacc"
"27",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,"unacc"
"28",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"29",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"30",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"32",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"33",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"34",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"35",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"36",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"39",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,"unacc"
"40",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"41",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"43",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"44",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,"unacc"
"45",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,"unacc"
"47",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"48",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"50",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"51",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,"unacc"
"54",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,"unacc"
"56",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,"unacc"
"58",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,"unacc"
"59",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"unacc"
"60",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,"unacc"
"62",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,"unacc"
"63",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,"unacc"
"64",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,"unacc"
"67",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,"unacc"
"68",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,"unacc"
"69",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,"unacc"
"70",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,"unacc"
"71",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,"unacc"
"72",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,"unacc"
"73",0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,"unacc"
"75",0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,"unacc"
"76",0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,"unacc"
"77",0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,"unacc"
"79",0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,"unacc"
"80",0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,"unacc"
"82",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,"unacc"
"83",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,"unacc"
"85",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,"unacc"
"86",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,"unacc"
"87",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,"unacc"
"88",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,"unacc"
"89",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,"unacc"
"90",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,"unacc"
"92",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,"unacc"
